videoID,Categoria,Duracion,Idioma,Opinion
'e9dZQelULDk','Animacion','[0-5]','Any',1
'0UgiJPnwtQU','Animacion','[5-15]','Eng',1
'FavUpD_IjVY','Animacion','[0-5]','Any',1
'eW6hheq8qfg','Animales','[6-15]','Any',0
'JQL25_hoQ1k','Animales','[0-5]','Any',0
'2AP9dfBTcNQ','Animales','[41-60]','Any',0
'bvEHyeph1B4','Arte y Literatura','[6-15]','Eng',0
'-qCngjk3nQw','Arte y Literatura','[6-15]','Eng',1
'K-oIzf3MQdg','Entretenimiento','[16-25]','Eng',0
'JYdi7vxRdqM','Espiritualidad','[16-25]','Eng',0
'G1p6rlDCxq0','Historia','[61-180]','Eng',0
'Rb9gLpdb2nc','Viajes','[16-25]','Esp',0
'kd2KEHvK-q8','Misterio','[16-25]','Eng',1
'I2O7blSSzpI','Misterio','[16-25]','Eng',0
'B6Gi1uKr15Y','Misterio',[26-40],'Esp',0
'2CBCqwn2w64','Misterio','[41-60]','Esp',0
'GLtAJ52OGu8','Videojuegos','[16-25]','Esp',1
'JfFEWkHXq6o','Videojuegos','[16-25]','Esp',1
'YNMkADpvO4w','Tecnologia','[5-15]','Eng',0
